Marca temporal,Género,¿Cuántos años tienes?,¿Qué semestre estás cursando?,Número de horas que dedicas para estudiar a la semana,Promedio general del último semestre cursado,Cantidad de materias aprobadas en el último semestre cursado (25-2),¿Con cuántos lenguajes de programación trabajas con comodidad? ,¿Cuántas herramientas de IA generadoras de texto utilizas comúnmente?,"Generalmente, ¿considera válido el uso de la inteligencia artificial generadora de texto en trabajos académicos?","Aproximadamente, ¿Cuántas veces consultas a una IA generadora de texto en un día?",¿Qué herramienta de IA generadora de texto utilizas con mayor frecuencia en tus actividades académicas?,¿Cómo calificarías tu nivel de confianza sobre las respuestas generadas por los modelos de IA generadoras de texto? [Nivel de confianza],expediente
2026/04/01 9:25:58 p.m. GMT+0,Femenino,21,7mo Semestre,2,96.67,3,3,2,Sí,1,ChatGPT,Regular,222214889
2026/04/01 9:56:01 p.m. GMT+0,Masculino,21,8vo Semestre,5,91,5,2,3,Sí,2,Gemini,Alto,222211112
2026/04/01 10:05:46 p.m. GMT+0,Masculino,26,3er Semestre,5,85,5,1,1,Sí,3,ChatGPT,Alto,223203764
2026/04/01 10:51:48 p.m. GMT+0,Masculino,25,4to Semestre,8,91,7,3,3,Sí,15,Cloud,Regular,220206842
2026/04/01 11:36:46 p.m. GMT+0,Prefiero no decirlo,19,2do Semestre,90,97,7,2,2,Sí,1,Gemini,Regular,225200796
2026/04/02 3:14:51 a.m. GMT+0,Femenino,21,8vo Semestre,2,30,1,1,3,Sí,3,ChatGPT,Bajo,222220289
2026/04/02 8:59:21 p.m. GMT+0,Masculino,21,8vo Semestre,4,98,7,3,3,Sí,3,Claude ,Regular,222200714
2026/04/03 6:31:05 a.m. GMT+0,Femenino,21,6to Semestre,8,98,6,2,2,Sí,1,Gemini,Alto,223209555
2026/04/04 9:03:36 p.m. GMT+0,Masculino,19,4to Semestre,3,98.57,7,3,2,Sí,2,ChatGPT,Regular,224212246
2026/04/06 3:18:49 p.m. GMT+0,Masculino,21,6to Semestre,5,87,6,3,4,Sí,2,ChatGPT,Alto,223201777
2026/04/06 3:19:16 p.m. GMT+0,Femenino,20,6to Semestre,3,100,6,1,2,Sí,4,ChatGPT,Alto,223203127
2026/04/06 3:19:27 p.m. GMT+0,no binario,20,6to Semestre,8,96,7,5,1,Sí,3,Claude,Alto,223204951
2026/04/06 3:32:00 p.m. GMT+0,Prefiero no decirlo,21,6to Semestre,2,100,7,1,3,Sí,3,ChatGPT,Regular,223215140
2026/04/06 4:10:09 p.m. GMT+0,Femenino,21,6to Semestre,9,99,7,1,3,Sí,5,ChatGPT,Regular,223204648
2026/04/06 4:45:15 p.m. GMT+0,Masculino,20,3er Semestre,1,92,6,2,2,Sí,1,Gemini,Regular,224202207
2026/04/06 4:46:46 p.m. GMT+0,Masculino,20,4to Semestre,12,84,4,2,2,Sí,1,Claude,Regular,223211470
2026/04/06 4:47:14 p.m. GMT+0,Masculino,22,4to Semestre,35,99,7,1,2,No,2,ChatGPT,Alto,222205202
2026/04/06 8:06:55 p.m. GMT+0,Masculino,19,2do Semestre,5,97.5,7,3,3,Sí,3,ChatGPT,Alto,22520131
2026/04/06 8:07:51 p.m. GMT+0,Femenino,18,2do Semestre,10,100,7,1,2,Sí,2,Gemini,Regular,225212533
2026/04/06 8:07:51 p.m. GMT+0,Masculino,18,1er Semestre,5,99,7,3,3,Sí,3,ChatGPT,Regular,225207469
2026/04/06 8:07:54 p.m. GMT+0,Masculino,19,2do Semestre,7,97,7,1,2,Sí,2,Gemini,Regular,225204989
2026/04/06 8:07:59 p.m. GMT+0,Masculino,18,2do Semestre,6,92,7,2,3,Sí,5,ChatGPT,Regular,225208140
2026/04/06 8:08:08 p.m. GMT+0,Masculino,19,2do Semestre,6,85,7,2,3,Sí,4,Gemini,Alto,225209736
2026/04/06 8:08:08 p.m. GMT+0,Masculino,22,2do Semestre,5,90,4,2,1,Sí,2,Gemini,Regular,221206172
2026/04/06 8:08:12 p.m. GMT+0,Masculino,21,2do Semestre,2,93,6,2,2,Sí,4,ChatGPT,Alto,222216484
2026/04/06 8:08:27 p.m. GMT+0,Prefiero no decirlo,19,2do Semestre,40,97,7,1,2,Sí,1,Gemini,Regular,225200796
2026/04/06 8:08:31 p.m. GMT+0,Masculino,19,2do Semestre,20,96.6,7,2,2,Sí,2,Deepseek,Alto,225204099
2026/04/06 8:08:34 p.m. GMT+0,Femenino,19,2do Semestre,2,9.3,7,1,4,Sí,5,ChatGPT,Regular,225203327
2026/04/06 8:08:38 p.m. GMT+0,Masculino,19,2do Semestre,2,98,7,3,2,Sí,1,ChatGPT,Regular,225205263
2026/04/06 8:08:40 p.m. GMT+0,Masculino,19,2do Semestre,0,93,7,21,1,Sí,1,Gemini,Muy alto,225214082
2026/04/06 8:09:04 p.m. GMT+0,Femenino,18,2do Semestre,5,91,7,2,2,Sí,5,Copilot,Bajo,225202085
2026/04/06 8:09:11 p.m. GMT+0,Masculino,18,2do Semestre,25,97,7,3,3,Sí,1,Gemini,Alto,225200392
2026/04/06 8:09:32 p.m. GMT+0,Masculino,19,2do Semestre,7,92.7,7,3,1,Sí,4,ChatGPT,Regular,225216218
2026/04/06 8:09:42 p.m. GMT+0,Masculino,19,2do Semestre,6,92,7,2,1,No,1,Claude,Regular,225207844
2026/04/06 8:09:52 p.m. GMT+0,Femenino,18,2do Semestre,5,84,7,2,4,Sí,5,Gemini,Bajo,225205380
2026/04/06 8:09:54 p.m. GMT+0,Masculino,18,2do Semestre,28,93,7,5,3,Sí,3,Gemini,Regular,225203587
2026/04/06 8:09:56 p.m. GMT+0,Masculino,25,2do Semestre,4,97,7,2,2,Sí,8,Claude,Regular,225205359
2026/04/06 8:10:04 p.m. GMT+0,Masculino,20,2do Semestre,5,90,7,2,2,Sí,1,Gemini,Regular,225205627
2026/04/06 8:10:06 p.m. GMT+0,Masculino,18,2do Semestre,6,94,7,2,3,No,2,ChatGPT,Regular,225205378
2026/04/06 8:10:09 p.m. GMT+0,Masculino,18,2do Semestre,50,96,7,2,1,Sí,1,Copilot,Regular,225206007
2026/04/06 8:11:13 p.m. GMT+0,Femenino,19,2do Semestre,5,96.2,7,2,2,Sí,3,ChatGPT,Regular,225206386
2026/04/06 8:11:15 p.m. GMT+0,Masculino,18,2do Semestre,0,94,7,2,1,No,5,Gemini,Alto,225220210
2026/04/06 8:11:41 p.m. GMT+0,Femenino,20,2do Semestre,5,92,7,0,2,Sí,2,ChatGPT,Regular,224204614
2026/04/06 8:12:50 p.m. GMT+0,Masculino,18,2do Semestre,10,92,7,1,2,No,2,ChatGPT,Regular,225206673
2026/04/06 8:14:50 p.m. GMT+0,Masculino,19,2do Semestre,2,95,7,1,3,Sí,5,ChatGPT,Regular,225204575
2026/04/06 8:15:35 p.m. GMT+0,Masculino,19,2do Semestre,8,97,7,1,1,No,2,ChatGPT,Bajo,225205932
2026/04/06 10:06:44 p.m. GMT+0,Masculino,19,2do Semestre,3,70,6,2,2,No,2,deepseek,Bajo,224212880
2026/04/06 10:07:06 p.m. GMT+0,Masculino,24,2do Semestre,6,92,7,2,1,Sí,1,Gemini,Regular,223201224
2026/04/06 10:07:17 p.m. GMT+0,Masculino,18,2do Semestre,10,88,7,2,1,Sí,4,ChatGPT,Regular,225204260
2026/04/06 10:07:23 p.m. GMT+0,Masculino,18,2do Semestre,20,67,7,2,5,Sí,50,Gemini,Regular,225209204
2026/04/06 10:07:28 p.m. GMT+0,Masculino,28,4to Semestre,45,88,4,3,3,No,1,ChatGPT,Regular,216201517
2026/04/06 10:07:31 p.m. GMT+0,Femenino,19,2do Semestre,4,7.8,6,1,0,No,0,Ninguna,Bajo,225204856
2026/04/06 10:07:46 p.m. GMT+0,Masculino,28,2do Semestre,14,90,7,2,3,No,1,Copilot,Alto,225204204
2026/04/06 10:07:54 p.m. GMT+0,Femenino,18,2do Semestre,3,85.6,7,2,0,No,0,Ninguna,Bajo,225204104
2026/04/06 10:08:27 p.m. GMT+0,Femenino,18,2do Semestre,8,85,7,3,2,Sí,4,ChatGPT,Bajo,225207453
2026/04/06 10:09:31 p.m. GMT+0,Masculino,18,2do Semestre,2,78,7,1,2,Sí,2,Gemini,Regular,225219249
2026/04/06 10:09:51 p.m. GMT+0,Masculino,19,2do Semestre,0,79.6,7,1,1,No,2,Gemini,Regular,225201183
2026/04/06 10:10:28 p.m. GMT+0,Femenino,18,2do Semestre,2,65,6,1,2,No,1,Grok,Bajo,6623721594
2026/04/06 10:10:41 p.m. GMT+0,Masculino,19,2do Semestre,7,70,7,1,2,Sí,2,Gemini,Regular,225204882
2026/04/06 10:11:29 p.m. GMT+0,Masculino,24,2do Semestre,4,99,4,1,1,Sí,1,ChatGPT,Regular,225206255
2026/04/06 10:11:33 p.m. GMT+0,Femenino,19,2do Semestre,2,81,7,3,0,No,0,Ninguna,Muy bajo,225215200
